Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"20 17 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,17,8,9,1,N,Winning,N,61,62,1,"[R1C16,R18C0]"
"18 18 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,18,8,9,1,N,Winning,N,61,61,1,"[R18C0]"
"19 18 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,18,8,9,2,N,Winning,N,61,62,1,"[R0C18,R18C0]"
"20 18 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,18,8,9,11,N,Winning,N,63,63,1,"[R18C0]"
"19 19 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,19,8,9,4,N,Winning,N,63,63,1,"[R18C0]"
"20 19 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,19,8,9,9,N,Winning,N,63,64,2,"[R0C19,R18C0] / [R1C18,R18C0]"
"20 20 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,20,8,9,1,N,Winning,N,65,65,1,"[R18C0]"
"2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",2,2,9,9,2,N,Winning,N,31,31,1,"[R10C1]"
"3 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",3,2,9,9,7,N,Winning,N,31,32,1,"[R0C2,R10C1]"
"4 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",4,2,9,9,1,N,Winning,N,33,33,1,"[R19C0]"
"5 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",5,2,9,9,7,N,Winning,N,33,34,1,"[R0C4,R19C0]"
"6 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",6,2,9,9,1,N,Winning,N,35,35,1,"[R19C0]"
"7 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,2,9,9,6,N,Winning,N,35,36,1,"[R0C6,R19C0]"
"8 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,2,9,9,1,N,Winning,N,37,37,1,"[R19C0]"
"9 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,2,9,9,6,N,Winning,N,37,38,1,"[R0C8,R19C0]"
"10 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,2,9,9,1,N,Winning,N,39,39,1,"[R19C0]"
"11 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,2,9,9,6,N,Winning,N,39,40,1,"[R0C10,R19C0]"
"12 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,2,9,9,2,N,Winning,N,41,41,1,"[R19C0]"
"13 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,2,9,9,5,N,Winning,N,41,42,1,"[R0C12,R19C0]"
"14 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,2,9,9,1,N,Winning,N,43,43,1,"[R19C0]"
"15 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,2,9,9,2,N,Winning,N,43,44,1,"[R0C14,R19C0]"
"16 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,2,9,9,3,N,Winning,N,45,45,1,"[R19C0]"
"17 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,2,9,9,2,N,Winning,N,45,46,1,"[R0C16,R19C0]"
"18 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,2,9,9,1,N,Winning,N,47,47,1,"[R19C0]"
"19 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,2,9,9,2,N,Winning,N,47,48,1,"[R0C18,R19C0]"
"20 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,2,9,9,5,N,Winning,N,49,49,1,"[R19C0]"
"3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",3,3,9,9,3,N,Winning,N,33,33,1,"[R10C1]"
"4 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",4,3,9,9,8,N,Winning,N,33,34,2,"[R0C3,R10C1] / [R1C2,R19C0]"
"5 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",5,3,9,9,13,N,Winning,N,33,35,1,"[R0C4,R1C2,R19C0]"
"6 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",6,3,9,9,10,N,Winning,N,35,36,1,"[R1C2,R19C0]"
"7 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,3,9,9,13,N,Winning,N,35,37,1,"[R0C6,R1C2,R19C0]"
"8 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,3,9,9,10,N,Winning,N,37,38,1,"[R1C2,R19C0]"
"9 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,3,9,9,13,N,Winning,N,37,39,1,"[R0C8,R1C2,R19C0]"
"10 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,3,9,9,10,N,Winning,N,39,40,1,"[R1C2,R19C0]"
"11 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,3,9,9,11,N,Winning,N,39,41,1,"[R0C10,R1C2,R19C0]"
"12 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,3,9,9,3,N,Winning,N,41,42,1,"[R1C2,R19C0]"
"13 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,3,9,9,7,N,Winning,N,41,43,1,"[R0C12,R1C2,R19C0]"
"14 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,3,9,9,8,N,Winning,N,43,44,1,"[R1C2,R19C0]"
"15 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,3,9,9,10,N,Winning,N,43,45,1,"[R0C14,R1C2,R19C0]"
"16 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,3,9,9,7,N,Winning,N,45,46,1,"[R1C2,R19C0]"
"17 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,3,9,9,10,N,Winning,N,45,47,1,"[R0C16,R1C2,R19C0]"
"18 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,3,9,9,9,N,Winning,N,47,48,1,"[R1C2,R19C0]"
"19 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,3,9,9,5,N,Winning,N,47,49,1,"[R0C18,R1C2,R19C0]"
"20 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,3,9,9,12,N,Winning,N,49,50,1,"[R1C2,R19C0]"
"4 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",4,4,9,9,2,N,Winning,N,35,35,1,"[R10C1]"
"5 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",5,4,9,9,5,N,Winning,N,35,36,1,"[R0C4,R10C1]"
"6 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",6,4,9,9,3,N,Winning,N,37,37,1,"[R10C1]"
"7 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,4,9,9,4,N,Winning,N,37,38,1,"[R0C6,R10C1]"
"8 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,4,9,9,3,N,Winning,N,39,39,1,"[R10C1]"
"9 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,4,9,9,4,N,Winning,N,39,40,1,"[R0C8,R10C1]"
"10 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,4,9,9,3,N,Winning,N,41,41,1,"[R10C1]"
"11 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,4,9,9,5,N,Winning,N,41,42,1,"[R0C10,R10C1]"
"12 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,4,9,9,1,N,Winning,N,43,43,1,"[R10C1]"
"13 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,4,9,9,4,N,Winning,N,43,44,1,"[R0C12,R10C1]"
"14 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,4,9,9,3,N,Winning,N,45,45,1,"[R10C1]"
"15 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,4,9,9,5,N,Winning,N,45,46,1,"[R0C14,R10C1]"
"16 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,4,9,9,2,N,Winning,N,47,47,1,"[R10C1]"
"17 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,4,9,9,3,N,Winning,N,47,48,1,"[R0C16,R10C1]"
"18 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,4,9,9,5,N,Winning,N,49,49,1,"[R10C1]"
"19 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,4,9,9,3,N,Winning,N,49,50,1,"[R0C18,R10C1]"
"20 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,4,9,9,6,N,Winning,N,51,51,1,"[R10C1]"
"5 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",5,5,9,9,3,N,Winning,N,37,37,1,"[R10C1]"
"6 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",6,5,9,9,8,N,Winning,N,37,38,2,"[R0C5,R10C1] / [R1C4,R10C1]"
"7 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,5,9,9,13,N,Winning,N,37,39,1,"[R0C6,R1C4,R10C1]"
"8 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,5,9,9,8,N,Winning,N,39,40,1,"[R1C4,R10C1]"
"9 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,5,9,9,15,N,Winning,N,39,41,1,"[R0C8,R1C4,R10C1]"
"10 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,5,9,9,8,N,Winning,N,41,42,1,"[R1C4,R10C1]"
"11 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,5,9,9,6,N,Winning,N,41,43,1,"[R0C10,R1C4,R10C1]"
"12 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,5,9,9,9,N,Winning,N,43,44,1,"[R1C4,R10C1]"
"13 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,5,9,9,6,N,Winning,N,43,45,1,"[R0C12,R1C4,R10C1]"
"14 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,5,9,9,13,N,Winning,N,45,46,1,"[R1C4,R10C1]"
"15 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,5,9,9,6,N,Winning,N,45,47,1,"[R0C14,R1C4,R10C1]"
"16 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,5,9,9,7,N,Winning,N,47,48,1,"[R1C4,R10C1]"
"17 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,5,9,9,8,N,Winning,N,47,49,1,"[R0C16,R1C4,R10C1]"
"18 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,5,9,9,6,N,Winning,N,49,50,1,"[R1C4,R10C1]"
"19 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,5,9,9,9,N,Winning,N,49,51,1,"[R0C18,R1C4,R10C1]"
"20 5 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,5,9,9,10,N,Winning,N,51,52,1,"[R1C4,R10C1]"
"6 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",6,6,9,9,3,N,Winning,N,39,39,1,"[R10C1]"
"7 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,6,9,9,4,N,Winning,N,39,40,1,"[R0C6,R10C1]"
"8 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,6,9,9,1,N,Winning,N,41,41,1,"[R10C1]"
"9 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,6,9,9,4,N,Winning,N,41,42,1,"[R0C8,R10C1]"
"10 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,6,9,9,5,N,Winning,N,43,43,1,"[R10C1]"
"11 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,6,9,9,4,N,Winning,N,43,44,1,"[R0C10,R10C1]"
"12 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,6,9,9,2,N,Winning,N,45,45,1,"[R10C1]"
"13 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,6,9,9,4,N,Winning,N,45,46,1,"[R0C12,R10C1]"
"14 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,6,9,9,1,N,Winning,N,47,47,1,"[R10C1]"
"15 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,6,9,9,2,N,Winning,N,47,48,1,"[R0C14,R10C1]"
"16 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,6,9,9,3,N,Winning,N,49,49,1,"[R10C1]"
"17 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,6,9,9,6,N,Winning,N,49,50,1,"[R0C16,R10C1]"
"18 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,6,9,9,9,N,Winning,N,51,51,1,"[R10C1]"
"19 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,6,9,9,4,N,Winning,N,51,52,1,"[R0C18,R10C1]"
"20 6 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,6,9,9,1,N,Winning,N,53,53,1,"[R10C1]"
"7 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",7,7,9,9,3,N,Winning,N,41,41,1,"[R10C1]"
"8 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,7,9,9,8,N,Winning,N,41,42,2,"[R0C7,R10C1] / [R1C6,R10C1]"
"9 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,7,9,9,6,N,Winning,N,41,43,1,"[R0C8,R1C6,R10C1]"
"10 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,7,9,9,10,N,Winning,N,43,44,1,"[R1C6,R10C1]"
"11 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,7,9,9,7,N,Winning,N,43,45,1,"[R0C10,R1C6,R10C1]"
"12 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,7,9,9,8,N,Winning,N,45,46,1,"[R1C6,R10C1]"
"13 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,7,9,9,10,N,Winning,N,45,47,1,"[R0C12,R1C6,R10C1]"
"14 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,7,9,9,5,N,Winning,N,47,48,1,"[R1C6,R10C1]"
"15 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,7,9,9,6,N,Winning,N,47,49,1,"[R0C14,R1C6,R10C1]"
"16 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,7,9,9,5,N,Winning,N,49,50,1,"[R1C6,R10C1]"
"17 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,7,9,9,7,N,Winning,N,49,51,1,"[R0C16,R1C6,R10C1]"
"18 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,7,9,9,12,N,Winning,N,51,52,1,"[R1C6,R10C1]"
"19 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,7,9,9,11,N,Winning,N,51,53,1,"[R0C18,R1C6,R10C1]"
"20 7 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,7,9,9,12,N,Winning,N,53,54,1,"[R1C6,R10C1]"
"8 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",8,8,9,9,4,N,Winning,N,43,43,1,"[R10C1]"
"9 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,8,9,9,7,N,Winning,N,43,44,1,"[R0C8,R10C1]"
"10 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,8,9,9,3,N,Winning,N,45,45,1,"[R10C1]"
"11 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,8,9,9,8,N,Winning,N,45,46,1,"[R0C10,R10C1]"
"12 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,8,9,9,3,N,Winning,N,47,47,1,"[R10C1]"
"13 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,8,9,9,4,N,Winning,N,47,48,1,"[R0C12,R10C1]"
"14 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,8,9,9,6,N,Winning,N,49,49,1,"[R10C1]"
"15 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,8,9,9,11,N,Winning,N,49,50,1,"[R0C14,R10C1]"
"16 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,8,9,9,1,N,Winning,N,51,51,1,"[R10C1]"
"17 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,8,9,9,4,N,Winning,N,51,52,1,"[R0C16,R10C1]"
"18 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,8,9,9,1,N,Winning,N,53,53,1,"[R10C1]"
"19 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,8,9,9,4,N,Winning,N,53,54,1,"[R0C18,R10C1]"
"20 8 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,8,9,9,2,N,Winning,N,55,55,1,"[R10C1]"
"9 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",9,9,9,9,4,N,Winning,N,45,45,1,"[R10C1]"
"10 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,9,9,9,5,N,Winning,N,45,46,2,"[R0C9,R10C1] / [R1C8,R10C1]"
"11 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,9,9,9,4,N,Winning,N,45,47,1,"[R0C10,R1C8,R10C1]"
"12 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,9,9,9,5,N,Winning,N,47,48,1,"[R1C8,R10C1]"
"13 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,9,9,9,6,N,Winning,N,47,49,1,"[R0C12,R1C8,R10C1]"
"14 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,9,9,9,9,N,Winning,N,49,50,1,"[R1C8,R10C1]"
"15 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,9,9,9,7,N,Winning,N,49,51,1,"[R0C14,R1C8,R10C1]"
"16 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,9,9,9,8,N,Winning,N,51,52,1,"[R1C8,R10C1]"
"17 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,9,9,9,9,N,Winning,N,51,53,1,"[R0C16,R1C8,R10C1]"
"18 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,9,9,9,11,N,Winning,N,53,54,1,"[R1C8,R10C1]"
"19 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,9,9,9,8,N,Winning,N,53,55,1,"[R0C18,R1C8,R10C1]"
"20 9 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,9,9,9,10,N,Winning,N,55,56,1,"[R1C8,R10C1]"
"10 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",10,10,9,9,3,N,Winning,N,47,47,1,"[R10C1]"
"11 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,10,9,9,6,N,Winning,N,47,48,1,"[R0C10,R10C1]"
"12 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,10,9,9,1,N,Winning,N,49,49,1,"[R10C1]"
"13 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,10,9,9,2,N,Winning,N,49,50,1,"[R0C12,R10C1]"
"14 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,10,9,9,10,N,Winning,N,51,51,1,"[R10C1]"
"15 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,10,9,9,1,N,Winning,N,51,52,1,"[R0C14,R10C1]"
"16 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,10,9,9,9,N,Winning,N,53,53,1,"[R10C1]"
"17 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,10,9,9,4,N,Winning,N,53,54,1,"[R0C16,R10C1]"
"18 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,10,9,9,2,N,Winning,N,55,55,1,"[R10C1]"
"19 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,10,9,9,10,N,Winning,N,55,56,1,"[R0C18,R10C1]"
"20 10 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,10,9,9,1,N,Winning,N,57,57,1,"[R10C1]"
"11 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",11,11,9,9,3,N,Winning,N,49,49,1,"[R10C1]"
"12 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,11,9,9,11,N,Winning,N,49,50,2,"[R0C11,R10C1] / [R1C10,R10C1]"
"13 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,11,9,9,10,N,Winning,N,49,51,1,"[R0C12,R1C10,R10C1]"
"14 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,11,9,9,3,N,Winning,N,51,52,1,"[R1C10,R10C1]"
"15 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,11,9,9,9,N,Winning,N,51,53,1,"[R0C14,R1C10,R10C1]"
"16 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,11,9,9,2,N,Winning,N,53,54,1,"[R1C10,R10C1]"
"17 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,11,9,9,6,N,Winning,N,53,55,1,"[R0C16,R1C10,R10C1]"
"18 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,11,9,9,3,N,Winning,N,55,56,1,"[R1C10,R10C1]"
"19 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,11,9,9,5,N,Winning,N,55,57,1,"[R0C18,R1C10,R10C1]"
"20 11 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,11,9,9,3,N,Winning,N,57,58,1,"[R1C10,R10C1]"
"12 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",12,12,9,9,4,N,Winning,N,51,51,1,"[R10C1]"
"13 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,12,9,9,5,N,Winning,N,51,52,1,"[R0C12,R10C1]"
"14 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,12,9,9,2,N,Winning,N,53,53,1,"[R10C1]"
"15 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,12,9,9,12,N,Winning,N,53,54,1,"[R0C14,R10C1]"
"16 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,12,9,9,3,N,Winning,N,55,55,1,"[R10C1]"
"17 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,12,9,9,7,N,Winning,N,55,56,1,"[R0C16,R10C1]"
"18 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,12,9,9,4,N,Winning,N,57,57,1,"[R10C1]"
"19 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,12,9,9,6,N,Winning,N,57,58,1,"[R0C18,R10C1]"
"20 12 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,12,9,9,7,N,Winning,N,59,59,1,"[R10C1]"
"13 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",13,13,9,9,2,N,Winning,N,53,53,1,"[R10C1]"
"14 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,13,9,9,9,N,Winning,N,53,54,2,"[R0C13,R10C1] / [R1C12,R10C1]"
"15 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,13,9,9,3,N,Winning,N,53,55,1,"[R0C14,R1C12,R10C1]"
"16 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,13,9,9,6,N,Winning,N,55,56,1,"[R1C12,R10C1]"
"17 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,13,9,9,8,N,Winning,N,55,57,1,"[R0C16,R1C12,R10C1]"
"18 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,13,9,9,9,N,Winning,N,57,58,1,"[R1C12,R10C1]"
"19 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,13,9,9,8,N,Winning,N,57,59,1,"[R0C18,R1C12,R10C1]"
"20 13 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,13,9,9,3,N,Winning,N,59,60,1,"[R1C12,R10C1]"
"14 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",14,14,9,9,3,N,Winning,N,55,55,1,"[R10C1]"
"15 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,14,9,9,5,N,Winning,N,55,56,1,"[R0C14,R10C1]"
"16 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",16,14,9,9,7,N,Winning,N,57,57,1,"[R10C1]"
"17 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",17,14,9,9,2,N,Winning,N,57,58,1,"[R0C16,R10C1]"
"18 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",18,14,9,9,5,N,Winning,N,59,59,1,"[R10C1]"
"19 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",19,14,9,9,6,N,Winning,N,59,60,1,"[R0C18,R10C1]"
"20 14 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",20,14,9,9,1,N,Winning,N,61,61,1,"[R10C1]"
"15 15 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1",15,15,9,9,2,N,Winning,N,57,57,1,"[R10C1]"
