Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"16 4 2 2 2 2 2 1 1",16,4,5,2,6,N,Winning,N,31,32,1,"[R6C1,R8C0]"
"17 4 2 2 2 2 2 1 1",17,4,5,2,7,N,Winning,N,31,33,1,"[R0C16,R6C1,R8C0]"
"18 4 2 2 2 2 2 1 1",18,4,5,2,6,N,Winning,N,33,34,1,"[R6C1,R8C0]"
"19 4 2 2 2 2 2 1 1",19,4,5,2,7,N,Winning,N,33,35,1,"[R0C18,R6C1,R8C0]"
"20 4 2 2 2 2 2 1 1",20,4,5,2,6,N,Winning,N,35,36,1,"[R6C1,R8C0]"
"5 5 2 2 2 2 2 1 1",5,5,5,2,3,N,Winning,N,21,22,1,"[R6C1,R8C0]"
"6 5 2 2 2 2 2 1 1",6,5,5,2,8,N,Winning,N,21,23,2,"[R0C5,R6C1,R8C0] / [R1C4,R6C1,R8C0]"
"7 5 2 2 2 2 2 1 1",7,5,5,2,9,N,Winning,N,21,24,1,"[R0C6,R1C4,R6C1,R8C0]"
"8 5 2 2 2 2 2 1 1",8,5,5,2,4,N,Winning,N,23,25,1,"[R1C4,R6C1,R8C0]"
"9 5 2 2 2 2 2 1 1",9,5,5,2,6,N,Winning,N,23,26,1,"[R0C8,R1C4,R6C1,R8C0]"
"10 5 2 2 2 2 2 1 1",10,5,5,2,7,N,Winning,N,25,27,1,"[R1C4,R6C1,R8C0]"
"11 5 2 2 2 2 2 1 1",11,5,5,2,5,N,Winning,N,25,28,1,"[R0C10,R1C4,R6C1,R8C0]"
"12 5 2 2 2 2 2 1 1",12,5,5,2,6,N,Winning,N,27,29,1,"[R1C4,R6C1,R8C0]"
"13 5 2 2 2 2 2 1 1",13,5,5,2,8,N,Winning,N,27,30,1,"[R0C12,R1C4,R6C1,R8C0]"
"14 5 2 2 2 2 2 1 1",14,5,5,2,9,N,Winning,N,29,31,1,"[R1C4,R6C1,R8C0]"
"15 5 2 2 2 2 2 1 1",15,5,5,2,6,N,Winning,N,29,32,1,"[R0C14,R1C4,R6C1,R8C0]"
"16 5 2 2 2 2 2 1 1",16,5,5,2,7,N,Winning,N,31,33,1,"[R1C4,R6C1,R8C0]"
"17 5 2 2 2 2 2 1 1",17,5,5,2,8,N,Winning,N,31,34,1,"[R0C16,R1C4,R6C1,R8C0]"
"18 5 2 2 2 2 2 1 1",18,5,5,2,9,N,Winning,N,33,35,1,"[R1C4,R6C1,R8C0]"
"19 5 2 2 2 2 2 1 1",19,5,5,2,8,N,Winning,N,33,36,1,"[R0C18,R1C4,R6C1,R8C0]"
"20 5 2 2 2 2 2 1 1",20,5,5,2,9,N,Winning,N,35,37,1,"[R1C4,R6C1,R8C0]"
"6 6 2 2 2 2 2 1 1",6,6,5,2,5,N,Winning,N,23,24,1,"[R6C1,R8C0]"
"7 6 2 2 2 2 2 1 1",7,6,5,2,7,N,Winning,N,23,25,1,"[R0C6,R6C1,R8C0]"
"8 6 2 2 2 2 2 1 1",8,6,5,2,8,N,Winning,N,25,26,1,"[R6C1,R8C0]"
"9 6 2 2 2 2 2 1 1",9,6,5,2,9,N,Winning,N,25,27,1,"[R0C8,R6C1,R8C0]"
"10 6 2 2 2 2 2 1 1",10,6,5,2,3,N,Winning,N,27,28,1,"[R6C1,R8C0]"
